id,category,question,answer
"81","Hostel","Are visitors allowed in the hostel?","Visitors are allowed only in designated areas during approved visiting hours and with required identification."
"82","Hostel","Is mess food included in hostel fees?","Mess arrangements and charges are specified separately in the hostel fee notice and resident handbook."
"83","Hostel","What happens if I violate hostel rules?","Violations may result in warnings or disciplinary action under the hostel code of conduct."
"84","Hostel","How do I vacate the hostel?","Complete the hostel clearance process, settle dues, return issued items, and obtain warden approval."
"85","Placement","When does placement registration start?","Placement registration dates are announced by the training and placement cell through official notices."
"86","Placement","How do I register for campus placements?","Complete your profile and upload the required documents on the placement portal before the deadline."
"87","Placement","What documents are needed for placement?","Typically you need a resume, academic records, ID, and any documents requested by the recruiting company."
"88","Placement","Can students with backlogs attend placements?","Eligibility for students with backlogs is decided by each company and communicated with the job announcement."
"89","Placement","How can I prepare for placement interviews?","Attend placement training, practise aptitude and technical questions, refine your resume, and take mock interviews."
"90","Placement","Where can I upload my resume?","Upload and update your resume in the placement portal profile section."
"91","Placement","How do I know about company drives?","Company drive information is shared through the placement portal, email, and official placement notices."
"92","Placement","Can I apply to multiple companies?","Yes, subject to placement cell rules and any offer or eligibility conditions that apply."
"93","Placement","What is the placement eligibility criteria?","Each company sets criteria such as branch, grades, graduation year, and backlog status."
"94","Placement","How do I get an internship through college?","Register with the placement cell and apply to internship opportunities posted on the placement portal."
"95","Placement","Who should I contact for placement queries?","Contact the training and placement cell using the official contact details on the portal."
"96","Placement","Are mock interviews conducted?","Yes, the placement cell may conduct mock interviews and training sessions before recruitment drives."
"97","Scholarships","What scholarships are available for students?","Available scholarships include government, merit, need-based, and institution-supported schemes, subject to eligibility."
"98","Scholarships","How do I apply for a scholarship?","Apply through the notified scholarship portal and submit all required documents before the deadline."
"99","Scholarships","What documents are needed for scholarship?","Requirements commonly include marksheets, income certificate, bank details, ID, and category certificates where applicable."
"100","Scholarships","What is the scholarship application deadline?","Deadlines are announced for each scheme on official notices and the relevant scholarship portal."
"101","Scholarships","Can I apply for more than one scholarship?","You may apply where scheme rules allow, but verify whether receiving multiple awards is permitted."
"102","Scholarships","How can I check scholarship status?","Log in to the scholarship portal with your application credentials to track verification and payment status."
"103","Scholarships","What is a merit scholarship?","A merit scholarship is financial support awarded based on academic performance or other stated achievement criteria."
"104","Scholarships","Is an income certificate required?","An income certificate is required for many need-based schemes; check the specific scholarship guidelines."
"105","Scholarships","When is scholarship money credited?","Disbursement occurs after verification and approval and follows the schedule of the funding authority."
"106","Scholarships","Can I renew my scholarship?","Renewal is possible when you continue to meet the scheme's academic and documentation requirements."
"107","Scholarships","Who verifies scholarship applications?","Applications are verified by designated college officials and, for some schemes, by government departments."
"108","Scholarships","What should I do if my scholarship is rejected?","Read the rejection reason, correct eligible issues if allowed, and contact the scholarship cell for guidance."
"109","Student Portal","How do I log in to the student portal?","Use your registered student ID and password on the official student portal login page."
"110","Student Portal","I forgot my student portal password. What should I do?","Select Forgot Password, verify your registered email or mobile number, and set a new secure password."
"111","Student Portal","How do I update my profile in the portal?","Open Profile in the portal, edit the permitted fields, and save changes. Contact administration for locked fields."
"112","Student Portal","How can I download my marksheet from the portal?","Navigate to Results or Documents, select the relevant semester, and use the download option."
"113","Student Portal","Why is the student portal not working?","Check your internet connection and try again later. If the issue continues, contact the IT helpdesk."
"114","Student Portal","Can I update my phone number in the portal?","Use the profile update option if enabled; otherwise submit a request to the administration office."
"115","Student Portal","How do I view notices on the portal?","Open the Notices or Announcements section after logging in to see the latest official updates."
"116","Student Portal","Where can I find my student ID?","Your student ID appears on your identity card, admission documents, and portal profile."
"117","Student Portal","How do I access course materials?","Open the Learning or Course Materials section and choose the course and semester."
"118","Student Portal","Can parents access the student portal?","Parent access is available only where the institution has enabled a separate authorized parent portal."
"119","Student Portal","How do I raise a support ticket?","Use the Helpdesk or Support section in the portal, describe the issue clearly, and note the ticket number."
"120","Student Portal","Is the student portal available on mobile?","The portal works in modern mobile browsers; use the official app only if the college provides one."
"121","Transport","How do I apply for college transport?","Submit a transport application through the transport office or portal and select an available route and stop."
"122","Transport","What are the bus routes and timings?","Current routes, stops, and timings are published by the transport office and on the student portal."
"123","Transport","How can I pay transport fees?","Pay transport fees using the student portal or accounts process specified in the transport fee notice."
"124","Transport","Can I change my bus stop?","Submit a stop-change request to the transport office; approval depends on route feasibility and seat availability."
"125","Transport","What should I do if I miss the bus?","Arrange your own safe travel for that day and inform the transport office if there is a recurring route issue."
"126","Transport","Is bus tracking available?","Bus tracking may be available through the designated transport app or portal where the service is enabled."
"127","Transport","How do I report a bus-related complaint?","Report the route, bus number, date, and issue to the transport office through official channels."
"128","Transport","Are transport fees refundable?","Refunds are governed by the transport policy and may depend on timing and route allocation status."
"129","Transport","Can day scholars use the college bus occasionally?","Occasional use depends on available seats and transport office approval; contact them before travelling."
"130","Transport","What are the bus safety rules?","Wear your ID, follow staff instructions, remain seated when required, and avoid unsafe behaviour during travel."
"131","Transport","Where is the transport office located?","The transport office location and contact information are available in the campus directory."
"132","Transport","Is transport available during exams?","Exam-day transport arrangements are announced by the transport office before examinations."
"133","General Queries","What are the college working hours?","College and administrative office hours are listed in the campus directory and may vary during vacations."
"134","General Queries","Where can I find the campus map?","The campus map is available at main entrances, on noticeboards, and often in the student portal."
"135","General Queries","How do I get a bonafide certificate?","Apply through the student portal or administration office and collect it after the stated processing time."
"136","General Queries","How can I get a duplicate ID card?","Report the loss and apply to the administration office with identification and any required replacement fee."
"137","General Queries","What is the anti-ragging policy?","The college maintains a zero-tolerance anti-ragging policy. Report concerns immediately to the anti-ragging committee."
"138","General Queries","How do I contact the IT helpdesk?","Use the Helpdesk portal or the official IT support contact details listed on the student portal."
"139","General Queries","Are there student clubs and societies?","Yes, students can join academic, cultural, sports, and technical clubs through official announcements."
"140","General Queries","How do I register a grievance?","Submit your grievance through the official grievance cell or portal with clear details and supporting evidence."
"141","General Queries","Where is the medical room?","The medical room location and emergency contact details are posted in the campus directory."
"142","General Queries","How do I book an auditorium or classroom?","Submit a booking request through your department or the facilities office well before the event."
"143","General Queries","Is there a lost and found office?","Lost-and-found items can be reported to campus security or the administration office."
"144","General Queries","How do I obtain a transfer certificate?","Apply to the administration office after completing academic and financial clearance requirements."
"145","General Queries","What is the college emergency contact number?","Emergency contact information is displayed on campus noticeboards and in the student portal directory."
"146","General Queries","How can I participate in sports events?","Watch official sports notices, register with the physical education department, and attend required trials or practice sessions."
"147","General Queries","Does the campus have a cafeteria?","The campus cafeteria details, menus, and service hours are available at the dining area and campus directory."
"148","General Queries","How do I get a character certificate?","Submit a certificate request through the administration office after meeting the required clearance conditions."
"149","General Queries","Can I park my vehicle on campus?","Parking is subject to campus rules, designated areas, and any required vehicle registration or parking pass."
"150","General Queries","How do I report a safety concern?","Report urgent safety concerns to campus security immediately or use the official grievance and emergency contact channels."
